Model,Dataset,RMSE,R2,MAPE
LightGBM,Train,124.64081768755926,0.13606588953921195,57.86791468595629
LightGBM,Test,113.70855496455293,0.07590581988874334,68.79001053550094
LightGBM,All,122.52680850728892,0.12777369918735937,60.05809749483596
RandomForest,Train,113.85174559645964,0.27915908392225086,44.82846990975419
RandomForest,Test,112.63122325426501,0.09333352823170071,67.97906808322108
RandomForest,All,113.60804812421992,0.25013146282113596,49.47080621894545
