store_cluster,データ数,平均,標準偏差,Min,5%,10%,25%,50%(中央値),75%,90%,95%,Max
クラスタ 0,4722,59.36478187208804,200.57371062801627,-3.58333333333333,0.25,0.666666666666666,2.83333333333333,12.0,41.22916666666665,124.54999999999988,251.93333333333305,5716.0
クラスタ 1,4539,89.41385767790253,584.286438393027,-0.5,0.25,0.583333333333333,4.0,19.0833333333333,64.0,167.13333333333307,300.5499999999997,34774.3333333333
クラスタ 2,945,32.80405643738973,92.36686779494663,0.0,0.166666666666666,0.416666666666666,1.41666666666666,5.58333333333333,23.0,71.3333333333333,127.76666666666597,1010.08333333333
クラスタ 3,1313,154.8163239400862,425.26177234683615,0.0,0.3000000000000005,0.583333333333333,7.66666666666666,35.6666666666666,118.5,393.43333333333294,698.4499999999978,6950.08333333333
クラスタ 4,8028,46.50871948181361,323.9240844745701,-8.0,0.25,0.5,2.16666666666666,8.20833333333333,30.0,90.94166666666663,169.833333333333,25388.75
クラスタ 5,1197,183.5954469507099,553.7298886569895,-1.41666666666666,0.25,0.416666666666666,2.83333333333333,36.0,142.166666666666,386.1666666666663,760.7,9112.5
クラスタ 6,111,293.97672672672655,1009.0726685429545,0.0,0.3749999999999995,1.0,3.5,27.0,147.875,683.333333333333,1151.0,9280.33333333333
クラスタ 7,311,36.47052518756694,218.12947970635076,0.0,0.20833333333333298,0.416666666666666,1.58333333333333,4.66666666666666,15.5833333333333,47.5,99.33333333333314,3637.41666666666
クラスタ 8,2256,98.03612588652472,415.73491318415836,-3.75,0.333333333333333,1.0,7.08333333333333,23.79166666666665,78.74999999999994,225.4999999999995,416.166666666666,17071.75
