feature,importance
seats_rate_count,1843.2353481650352
NUM_SEATS,902.0674596428871
cuisine_cluster_id,839.5510162115097
AVG_MONTHLY_POPULATION,819.501908659935
NEAREST_STATION_INFO_count,670.1804980039597
RATING_CNT,656.9990706145763
DINNER_PRICE,600.5294983386993
rate_count,518.2187523841858
HOLIDAY,446.1961588859558
RATING_SCORE,424.06443428993225
cuisine_cluster_median_log,396.7741792201996
CITY_count,330.5161702632904
AGE_RESTAURANT,304.0622289776802
LUNCH_PRICE,178.9427593946457
DISTANCE_VALUE,147.45687973499298
HOME_PAGE_URL,118.28697180747986
IS_FRIEND_FRIENDLY,71.65770384669304
CUISINE_CAT_1_noodles,41.311190128326416
IS_ALONE_FRIENDLY,38.452789545059204
CUISINE_CAT_1_izakaya,19.17657995223999
