feature,importance
seats_rate_count,171.5969214439392
cuisine_cluster_id,142.85048139095306
NUM_SEATS,132.35052371025085
AVG_MONTHLY_POPULATION,107.26085661351681
NEAREST_STATION_INFO_count,92.44776511192322
RATING_CNT,87.97005468606949
RATING_SCORE,85.79430466890335
AGE_RESTAURANT,76.43658696115017
rate_count,71.43063521385193
CITY_count,70.59418852627277
DISTANCE_VALUE,68.53791972994804
cuisine_cluster_median_log,66.86727344989777
LUNCH_PRICE,63.68071126937866
IS_FAMILY_FRIENDLY,23.71011197566986
DINNER_PRICE,22.246586203575134
LUNCH_INFO,7.9702900648117065
HOME_PAGE_URL,4.9791998863220215
IS_FRIEND_FRIENDLY,4.026396989822388
CUISINE_CAT_1_japanese cuisine,3.0713601112365723
IS_ALONE_FRIENDLY,0.0
