Model,Dataset,RMSE,R2,MAPE
LightGBM,Train,137.95029085286282,0.44849042318158505,36.985891851851626
LightGBM,Test,164.05411798908625,0.14268242179480017,92.10163295953471
LightGBM,All,143.62307371846586,0.391069397388642,48.15313351419265
RandomForest,Train,166.34481413634938,0.19808867004373387,60.84446124611509
RandomForest,Test,164.3761695987711,0.13931314934541195,82.32788321179727
RandomForest,All,165.94782502119938,0.1870525067576394,65.1973114483121
