Model,Dataset,RMSE,R2,MAPE
LightGBM,Train,166.16882614582286,0.017055120169853666,78.70067564183944
LightGBM,Test,128.88847112856135,0.03749876595773127,74.29840244392292
LightGBM,All,159.35209671194065,0.02265077409131777,77.81260900249029
RandomForest,Train,159.4998490777363,0.09437038939244335,69.53505297055365
RandomForest,Test,128.8177705509683,0.03855441862631814,78.53881260238374
RandomForest,All,153.80399569412353,0.0895220229813205,71.35137335737816
