cuisine_cluster_id,データ数,平均,標準偏差,Min,5%,10%,25%,50%(中央値),75%,90%,95%,Max
クラスタ 0,573,63.44851657940656,54.40480525040105,20.0,21.1666666666666,22.68333333333328,29.0833333333333,42.6666666666666,76.0,132.86666666666682,177.5999999999998,360.0
クラスタ 1,3935,100.4387759423972,129.54320793991596,20.0,21.6666666666666,23.6666666666666,31.5,53.25,108.7499999999995,228.34999999999974,361.41666666666595,976.0
クラスタ 2,3633,129.77534636205144,167.56043857468154,20.0,22.0,24.3333333333333,34.0,61.1666666666666,143.75,322.0666666666664,519.6999999999998,996.0
クラスタ 3,15,306.4277777777777,354.27517926818217,21.0,23.8,30.73333333333332,51.0416666666666,84.1666666666666,587.1666666666665,833.6833333333332,902.0999999999998,974.083333333333
クラスタ 4,1481,173.2199527346386,186.97330930067568,20.0,24.5833333333333,30.25,50.0,102.583333333333,217.5,425.0,614.75,989.166666666666
