feature,importance
NEAREST_STATION_INFO_count,509.05799812078476
RATING_CNT,383.873932749033
seats_rate_count,329.97806710004807
cuisine_cluster_id,244.97950780391693
NUM_SEATS,204.52629429101944
AVG_MONTHLY_POPULATION,180.2308976650238
rate_count,158.77941071987152
HOLIDAY,151.25123035907745
DINNER_PRICE,126.31183004379272
RATING_SCORE,118.66929107904434
AGE_RESTAURANT,115.57706016302109
CITY_count,106.25538235902786
PHONE_NUM,78.57074022293091
cuisine_cluster_median_log,67.49280095100403
LUNCH_INFO,63.241299748420715
DISTANCE_VALUE,58.34852063655853
IS_ALONE_FRIENDLY,47.81811046600342
HOME_PAGE_URL,37.73403722047806
LUNCH_PRICE,30.617339849472046
CUISINE_CAT_1_japanese cuisine,19.84570026397705
