feature,importance
NUM_SEATS,0.09137064259260044
seats_rate_count,0.07632077642633349
NEAREST_STATION_INFO_count,0.07260697648575046
RATING_SCORE,0.07197461557949704
cuisine_cluster_id,0.06993541722262314
cuisine_cluster_median_log,0.06689090277250992
DINNER_PRICE,0.06464568405729232
AGE_RESTAURANT,0.05944103444727658
rate_count,0.05931001547859881
AVG_MONTHLY_POPULATION,0.054247463043886626
RATING_CNT,0.04918810901631106
CITY_count,0.047384673516944205
DISTANCE_VALUE,0.041378946009291866
LUNCH_PRICE,0.03460017351855696
CUISINE_CAT_1_chinese cuisine,0.02534541464586057
HOME_PAGE_URL,0.022663023050053317
HOLIDAY,0.015140544833748324
CUISINE_CAT_1_japanese cuisine,0.014657140559062972
IS_FRIEND_FRIENDLY,0.012583923546078065
PHONE_NUM,0.011559242810572275
