feature,importance
cuisine_cluster_id,73.45403416454792
seats_rate_count,66.6970337331295
RATING_SCORE,62.52531850337982
RATING_CNT,61.91525945067406
NUM_SEATS,52.98548972606659
AGE_RESTAURANT,45.770616352558136
DINNER_PRICE,36.74671859294176
LUNCH_PRICE,33.508479833602905
NEAREST_STATION_INFO_count,32.83845812082291
AVG_MONTHLY_POPULATION,30.854988157749176
cuisine_cluster_median_log,28.744969844818115
CITY_count,27.822438955307007
rate_count,26.565006911754608
CUISINE_CAT_1_chinese cuisine,23.79299020767212
HOLIDAY,19.913919925689697
HOME_PAGE_URL,15.360840082168579
CUISINE_CAT_1_japanese cuisine,14.545689821243286
DISTANCE_VALUE,10.148500084877014
PHONE_NUM,6.816199779510498
CUISINE_CAT_1_izakaya,5.158870220184326
