Model,Dataset,RMSE,R2,MAPE
LightGBM,Train,172.03209992302942,0.18033524500546005,75.03996363171976
LightGBM,Test,183.20861160460254,-0.009684157890434753,92.12438949161162
LightGBM,All,174.33662947884096,0.14464701566848392,78.47469154611055
RandomForest,Train,175.6035955180088,0.145948445031176,72.72344344082866
RandomForest,Test,183.4101822084923,-0.011907138611278123,94.96766020951983
RandomForest,All,177.20068924077054,0.11631212142713632,77.1955183525499
