store_cluster,データ数,平均,標準偏差,Min,5%,10%,25%,50%(中央値),75%,90%,95%,Max
クラスタ 0,1,33.5,,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
クラスタ 1,337,109.31379821958446,146.9536906785573,20.1666666666666,21.9166666666666,23.09999999999996,31.25,50.4166666666666,110.916666666666,271.9833333333335,442.7666666666658,929.833333333333
クラスタ 2,3990,100.07282790309097,130.13528622260637,20.0,21.5,23.3333333333333,31.0,51.29166666666665,107.583333333333,230.5166666666666,362.4583333333329,952.916666666666
クラスタ 3,2915,112.07072612921658,146.22076600818747,20.0,22.0,24.1666666666666,33.3333333333333,58.8333333333333,120.0416666666665,260.0166666666661,410.2999999999997,994.666666666666
クラスタ 4,707,162.6270627062705,201.49986034653446,20.0,23.25,26.75,37.9583333333333,75.75,189.4999999999995,448.0833333333331,626.9749999999983,996.0
クラスタ 5,383,170.49738903394243,188.7485671204516,20.3333333333333,24.0,28.3333333333333,43.62499999999995,93.5833333333333,214.91666666666652,444.6500000000002,558.7499999999997,959.666666666666
クラスタ 6,1304,169.52818251533728,185.6759555193246,20.0,24.012499999999996,29.21666666666661,50.0,100.25,213.4374999999995,407.27499999999986,609.3333333333328,989.166666666666
