feature,importance
seats_rate_count,0.10422183875583121
AVG_MONTHLY_POPULATION,0.08318863516914621
RATING_CNT,0.07674308545530699
NUM_SEATS,0.07507370588678748
rate_count,0.07505433322996054
NEAREST_STATION_INFO_count,0.06781423322047837
cuisine_cluster_id,0.057878756772413394
RATING_SCORE,0.05703150802560954
AGE_RESTAURANT,0.04900025327464911
store_cluster,0.04825793232132282
CITY_count,0.04588242623317213
DISTANCE_VALUE,0.042298586355033564
DINNER_PRICE,0.04068861030483001
LUNCH_PRICE,0.02748695541095773
HOLIDAY,0.019415084795711624
store_cluster_median_log,0.01830514788909299
cuisine_cluster_median_log,0.015577699710205872
HOME_PAGE_URL,0.011610311078747718
IS_ALONE_FRIENDLY,0.009620986539507706
CUISINE_CAT_1_japanese cuisine,0.009216684813831002
