cuisine_index,cuisine_name,n_samples,lgb_test_rmse,lgb_test_r2,lgb_test_mape,rf_test_rmse,rf_test_r2,rf_test_mape
52,四川料理,30,22.23711370975918,-0.11129353120226604,50.97374761555036,21.95361787279897,-0.0831389008434329,49.458708370093696
47,ふぐ,39,26.55327170138526,0.6329156225871203,18.993522892211576,31.97206421797187,0.46780452638767855,16.945970340347323
42,鳥料理,44,36.33303957238728,-0.003120687267700095,69.22450428150981,36.28418734082746,-0.00042497341521530174,68.50467162029855
51,沖縄料理,33,38.55693983610841,-0.14599718758208202,88.23480208637079,38.58646165834182,-0.14775276659898973,82.9041232122429
35,天ぷら,54,48.557596561233524,0.5796905529149401,54.301614752247886,63.371712050341316,0.28411103685116657,57.973645290428536
20,日本料理,103,48.8771919468297,0.005464589655567731,50.68968413145725,49.49987621724746,-0.020037133517051275,51.125386525492985
50,立ち飲み,33,59.73672385013235,-0.008724020873150495,69.73749595835214,58.63063298598475,0.02828540230071419,74.06803631739486
27,焼鳥,68,62.374046342762284,0.11197708293532105,94.08840678227904,63.532425179948184,0.07868699025082704,96.83678903848627
30,ビストロ,64,68.32930848995257,0.08246470721761501,39.26477482450551,70.56098844554178,0.02155134858292107,50.188100072128435
46,つけ麺,41,81.54311362795667,-0.09914239959359983,101.66725222636015,70.72140405369821,0.17323681662817614,83.2594686716794
28,洋食,67,83.46563885398895,0.4903308687148469,99.2311171129721,85.6923431241814,0.46277412326486134,123.80449981726859
37,インド料理,51,88.21861257494469,-0.21205126960378284,58.39298030782302,89.56583447487297,-0.2493533834728483,48.79125434057277
22,ホルモン,87,89.61718777957698,0.004380309534452231,66.31399946702973,88.6324884190306,0.026139526350685727,63.491589137651474
48,もつ鍋,37,91.46109435171354,-0.26344962203556577,48.09949917140979,91.20407856847022,-0.2563587330007038,48.278292573707766
10,ダイニングバー,214,102.78340242162757,0.07504506654941934,57.26387640107787,96.24730046775876,0.1889423819973578,57.27612363560822
25,串揚げ,77,105.82841347359178,0.07653613466373954,56.15331519857545,112.02374726393137,-0.03475022017077323,52.3964735661721
26,バル,70,109.48113889598847,0.24722435934354814,84.55041676797173,125.0841276883412,0.017366983332703034,78.12456979692686
49,ハンバーグ,33,111.14438025480668,-0.05462979096894216,81.95212873225002,107.83597029530571,0.00722160188935328,79.57781951873145
4,バー,445,111.55616461385627,-0.048288259209020135,66.84362797142367,111.13825736070092,-0.04044885928138653,68.32855967148899
6,イタリアン,379,114.93396585814922,0.05588099667719071,69.68853578496135,112.05462821553435,0.1025927946658689,65.8121977544188
18,とんかつ,112,118.12671504448693,-0.053614503905786925,92.34547506623392,113.26317937398136,0.03135869732342378,90.24684586976939
43,ジンギスカン,43,118.8997813754213,-0.20561410452414308,43.729958612216144,114.08236817786694,-0.10989849838245536,43.60980905338199
12,その他,142,121.33771937936811,-0.023855763361935622,95.93896446604914,113.55889351156848,0.10321274383333112,91.55016353303759
8,カフェ,311,123.84037542108362,-0.08813340183063922,72.73043428431669,120.37416007503528,-0.028073492531328625,78.40258432876507
5,中華料理,405,128.0003949092327,0.009357251316676307,70.54579931538882,128.23115135709074,0.005782211457096231,71.94569588637563
7,焼き鳥,347,128.88847112856135,0.03749876595773127,74.29840244392292,128.8177705509683,0.03855441862631814,78.53881260238374
31,食堂,61,131.21594971346934,-0.09453796237265455,79.39597463189536,132.24394282682886,-0.11175515301732286,78.59958335535117
36,うどん,51,137.20662886237702,0.15080569063451277,77.81654206281718,118.66211387792613,0.3648430585530248,77.55068652736458
17,韓国料理,116,144.67066260212118,-0.03885449272560071,81.55907206678937,147.52678573834655,-0.08027802482371338,79.16515188453178
38,パスタ,50,147.06893629435555,-0.1907688874076332,80.85302802514435,144.52652064924067,-0.14995453763965005,80.63600564372324
1,居酒屋,1718,153.394721893806,0.0392931753172191,82.22228565103418,154.11694461779544,0.030225357440792577,83.40848838385978
32,うなぎ,60,155.15073598952,-0.16109046809802208,103.55508578422518,147.20036564615287,-0.045144061304499106,105.64350052922731
39,スペイン料理,49,159.50386475792894,0.058987977740555864,77.64446052974573,169.34535260504094,-0.060716480166897346,85.67617401760755
15,海鮮,126,159.9808354047016,0.14097267782155032,70.38308478057348,157.5613934846367,0.1667589015590243,60.63863977682883
3,ラーメン,572,162.18572185704213,-0.033520346019303204,67.48702367442755,157.9641820083264,0.019582532495048266,66.78374052822878
9,寿司,306,167.7798779843542,0.10329992847000113,82.26224284655021,165.16982403611007,0.13098180776081592,82.64885855811976
45,しゃぶしゃぶ,42,168.65127380402504,0.011230338544775842,54.955069945896305,169.087470374071,0.0061090527614330314,69.90545818750492
44,回転寿司,42,169.63561379011801,-0.10469865299906789,73.99427546295911,156.98195696691442,0.05396058044210328,88.25435523650042
19,タイ料理,106,170.7306735625593,-0.12323438212160065,76.55557305048363,170.916385074584,-0.1256792972809797,79.59370142808714
33,牛タン,59,176.41276769577496,-0.3211344363856248,86.57934078700745,171.5444586745207,-0.24922415570277057,86.67861525121293
41,ビアバー,44,177.77040987770732,-0.10674125369509424,57.52035101125655,173.10008148164425,-0.049353210658642066,57.815161014884076
2,焼肉,910,180.3864175592067,0.017932262768687424,89.12339482928088,180.33309045795946,0.01851282848142377,87.87502621999307
11,餃子,152,185.2029996432609,0.05883489461909075,79.12976639901056,175.01362158422606,0.15954689184207005,74.14249640221831
34,ハンバーガー,55,186.73600017550777,-0.09700384010342433,79.71036584137666,182.6017830885071,-0.04896759418845287,81.72955762824257
