store_cluster,n_samples,lgb_test_rmse,lgb_test_r2,lgb_test_mape,rf_test_rmse,rf_test_r2,rf_test_mape
1,337,143.27415258888357,-0.022417140864362528,66.38830659770278,138.61858744604064,0.04294837964674458,65.43959117602185
2,3990,127.70283099018727,0.017482820028655754,73.70451940751227,129.21331600272492,-0.005897310076035556,74.09312887068447
3,2915,161.76247288974352,-0.027711066204094692,77.6910415652335,160.22356400771164,-0.008250054088154046,78.32086417952779
4,707,212.6772835176017,-0.045977796293278805,101.56694576847019,213.3864034785519,-0.05296453478480245,99.13076652095913
5,383,183.20861160460254,-0.009684157890434753,92.12438949161162,183.4101822084923,-0.011907138611278123,94.96766020951983
6,1304,170.0666003147235,-0.004006088530492002,91.71993063455146,168.6754073394049,0.012352834894386988,88.1726909460837
